dataset,tess_size,length_scale,output_variance,zero_boundary,n_recurrence,N,acc_train,acc_test
Adiac,32.0,0.01,0.5,1.0,5.0,8.0,0.7333333333333333,0.6943906081081082
Adiac,32.0,0.01,0.5,0.0,1.0,0.0,0.6641025641025641,0.62883625
Adiac,32.0,0.01,0.5,0.0,1.0,8.0,0.6717948717948717,0.6361200675675676
Adiac,32.0,0.01,0.5,0.0,5.0,0.0,0.7538461538461538,0.7138141216216217
Adiac,32.0,0.01,0.5,0.0,5.0,8.0,0.1769230769230769,0.16752780405405404
Adiac,64.0,0.001,0.1,1.0,1.0,0.0,0.6717948717948717,0.6361200675675676
Adiac,64.0,0.001,0.1,1.0,1.0,8.0,0.6666666666666666,0.6312641891891893
Adiac,64.0,0.001,0.1,1.0,5.0,0.0,0.7256410256410256,0.6871067905405406
Adiac,64.0,0.001,0.1,1.0,5.0,8.0,0.7307692307692307,0.6919626689189189
Adiac,64.0,0.001,0.1,0.0,1.0,0.0,0.6615384615384615,0.6264083108108108
Adiac,64.0,0.001,0.1,0.0,1.0,8.0,0.6692307692307692,0.6336921283783784
Adiac,64.0,0.001,0.1,0.0,5.0,0.0,0.7435897435897436,0.704102364864865
Adiac,64.0,0.001,0.1,0.0,5.0,8.0,0.7205128205128205,0.6822509121621622
Adiac,64.0,0.001,0.5,1.0,1.0,0.0,0.6717948717948717,0.6361200675675676
Adiac,64.0,0.001,0.5,1.0,1.0,8.0,0.658974358974359,0.6239803716216217
Adiac,64.0,0.001,0.5,1.0,5.0,0.0,0.7051282051282052,0.6676832770270271
Adiac,64.0,0.001,0.5,1.0,5.0,8.0,0.7102564102564103,0.6725391554054054
Adiac,64.0,0.001,0.5,0.0,1.0,0.0,0.6615384615384615,0.6264083108108108
Adiac,64.0,0.001,0.5,0.0,1.0,8.0,0.6564102564102564,0.6215524324324325
Adiac,64.0,0.001,0.5,0.0,5.0,0.0,0.735897435897436,0.6968185472972974
Adiac,64.0,0.001,0.5,0.0,5.0,8.0,0.717948717948718,0.679822972972973
Adiac,64.0,0.01,0.1,1.0,1.0,0.0,0.6641025641025641,0.62883625
Adiac,64.0,0.01,0.1,1.0,1.0,8.0,0.6871794871794872,0.6506877027027028
Adiac,64.0,0.01,0.1,1.0,5.0,0.0,0.7384615384615385,0.6992464864864866
Adiac,64.0,0.01,0.1,1.0,5.0,8.0,0.7384615384615385,0.6992464864864866
Adiac,64.0,0.01,0.1,0.0,1.0,0.0,0.658974358974359,0.6239803716216217
Adiac,64.0,0.01,0.1,0.0,1.0,8.0,0.6692307692307692,0.6336921283783784
Adiac,64.0,0.01,0.1,0.0,5.0,0.0,0.7410256410256411,0.7016744256756757
Adiac,64.0,0.01,0.1,0.0,5.0,8.0,0.6666666666666666,0.6312641891891893
Adiac,64.0,0.01,0.5,1.0,1.0,0.0,0.676923076923077,0.6409759459459461
Adiac,64.0,0.01,0.5,1.0,1.0,8.0,0.6564102564102564,0.6215524324324325
Adiac,64.0,0.01,0.5,1.0,5.0,0.0,0.7128205128205128,0.6749670945945947
Adiac,64.0,0.01,0.5,1.0,5.0,8.0,0.7,0.6628273986486487
Adiac,64.0,0.01,0.5,0.0,1.0,0.0,0.6717948717948717,0.6361200675675676
Adiac,64.0,0.01,0.5,0.0,1.0,8.0,0.6717948717948717,0.6361200675675676
Adiac,64.0,0.01,0.5,0.0,5.0,0.0,0.7512820512820513,0.7113861824324325
Adiac,64.0,0.01,0.5,0.0,5.0,8.0,0.7461538461538462,0.706530304054054
ArrowHead,16.0,0.001,0.1,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.001,0.1,1.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,16.0,0.001,0.1,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,16.0,0.001,0.1,1.0,5.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,16.0,0.001,0.1,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.001,0.1,0.0,1.0,8.0,0.8333333333333334,0.6403358823529413
ArrowHead,16.0,0.001,0.1,0.0,5.0,0.0,0.75,0.5763022941176471
ArrowHead,16.0,0.001,0.1,0.0,5.0,8.0,0.7222222222222222,0.5549577647058824
ArrowHead,16.0,0.001,0.5,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.001,0.5,1.0,1.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,16.0,0.001,0.5,1.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.001,0.5,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,16.0,0.001,0.5,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.001,0.5,0.0,1.0,8.0,0.8055555555555556,0.6189913529411765
ArrowHead,16.0,0.001,0.5,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.001,0.5,0.0,5.0,8.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.01,0.1,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.01,0.1,1.0,1.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,16.0,0.01,0.1,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,16.0,0.01,0.1,1.0,5.0,8.0,0.75,0.5763022941176471
ArrowHead,16.0,0.01,0.1,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.01,0.1,0.0,1.0,8.0,0.8333333333333334,0.6403358823529413
ArrowHead,16.0,0.01,0.1,0.0,5.0,0.0,0.75,0.5763022941176471
ArrowHead,16.0,0.01,0.1,0.0,5.0,8.0,0.7222222222222222,0.5549577647058824
ArrowHead,16.0,0.01,0.5,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.01,0.5,1.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,16.0,0.01,0.5,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,16.0,0.01,0.5,1.0,5.0,8.0,0.9444444444444444,0.725714
ArrowHead,16.0,0.01,0.5,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.01,0.5,0.0,1.0,8.0,0.8055555555555556,0.6189913529411765
ArrowHead,16.0,0.01,0.5,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,16.0,0.01,0.5,0.0,5.0,8.0,0.6666666666666666,0.5122687058823528
ArrowHead,32.0,0.001,0.1,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.1,1.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,32.0,0.001,0.1,1.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.1,1.0,5.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,32.0,0.001,0.1,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.1,0.0,1.0,8.0,0.8055555555555556,0.6189913529411765
ArrowHead,32.0,0.001,0.1,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.1,0.0,5.0,8.0,0.75,0.5763022941176471
ArrowHead,32.0,0.001,0.5,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.5,1.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,32.0,0.001,0.5,1.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.5,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,32.0,0.001,0.5,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.5,0.0,1.0,8.0,0.8611111111111112,0.6616804117647059
ArrowHead,32.0,0.001,0.5,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.001,0.5,0.0,5.0,8.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.1,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.1,1.0,1.0,8.0,0.8055555555555556,0.6189913529411765
ArrowHead,32.0,0.01,0.1,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
ArrowHead,32.0,0.01,0.1,1.0,5.0,8.0,0.8888888888888888,0.6830249411764705
ArrowHead,32.0,0.01,0.1,0.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.1,0.0,1.0,8.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.1,0.0,5.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.1,0.0,5.0,8.0,0.8055555555555556,0.6189913529411765
ArrowHead,32.0,0.01,0.5,1.0,1.0,0.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.5,1.0,1.0,8.0,0.7777777777777778,0.5976468235294118
ArrowHead,32.0,0.01,0.5,1.0,5.0,0.0,0.8055555555555556,0.6189913529411765
